sl_no,gender,ssc_p,hsc_p,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status
1,M,67,91,58,Sci&Tech,No,55,Mkt&HR,58.8,Placed
2,M,79.33,78.33,77.48,Sci&Tech,Yes,86.5,Mkt&Fin,66.28,Placed
3,M,65,68,64,Comm&Mgmt,No,75,Mkt&Fin,57.8,Placed
4,M,56,52,52,Sci&Tech,No,66,Mkt&HR,59.43,Not Placed
5,M,85.8,73.6,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,Placed
6,M,55,49.8,67.25,Sci&Tech,Yes,55,Mkt&Fin,51.58,Not Placed
7,F,46,49.2,79,Comm&Mgmt,No,74.28,Mkt&Fin,53.29,Not Placed
8,M,82,64,66,Sci&Tech,Yes,67,Mkt&Fin,62.14,Placed
9,M,73,79,72,Comm&Mgmt,No,91.34,Mkt&Fin,61.29,Placed
10,M,58,70,61,Comm&Mgmt,No,54,Mkt&Fin,52.21,Not Placed
11,M,58,61,60,Comm&Mgmt,Yes,62,Mkt&HR,60.85,Placed
12,M,69.6,68.4,78.3,Comm&Mgmt,Yes,60,Mkt&Fin,63.7,Placed
13,F,47,55,65,Comm&Mgmt,No,62,Mkt&HR,65.04,Not Placed
14,F,77,87,59,Comm&Mgmt,No,68,Mkt&Fin,68.63,Placed
15,M,62,47,50,Comm&Mgmt,No,76,Mkt&HR,54.96,Not Placed
16,F,65,75,69,Comm&Mgmt,Yes,72,Mkt&Fin,64.66,Placed
17,M,63,66.2,65.6,Comm&Mgmt,Yes,60,Mkt&Fin,62.54,Placed
18,F,55,67,64,Comm&Mgmt,No,60,Mkt&Fin,67.28,Not Placed
19,F,63,66,64,Comm&Mgmt,No,68,Mkt&HR,64.08,Not Placed
20,M,60,67,70,Comm&Mgmt,Yes,50.48,Mkt&Fin,77.89,Placed
21,M,62,65,66,Comm&Mgmt,No,50,Mkt&HR,56.7,Placed
22,F,79,76,85,Comm&Mgmt,No,95,Mkt&Fin,69.06,Placed
23,F,69.8,60.8,72.23,Sci&Tech,No,55.53,Mkt&HR,68.81,Placed
24,F,77.4,60,64.74,Sci&Tech,Yes,92,Mkt&Fin,63.62,Placed
25,M,76.5,97.7,78.86,Sci&Tech,No,97.4,Mkt&Fin,74.01,Placed
26,F,52.58,54.6,50.2,Comm&Mgmt,Yes,76,Mkt&Fin,65.33,Not Placed
27,M,71,79,66,Comm&Mgmt,Yes,94,Mkt&Fin,57.55,Placed
28,M,63,67,66,Comm&Mgmt,No,68,Mkt&HR,57.69,Placed
29,M,76.76,76.5,67.5,Comm&Mgmt,Yes,73.35,Mkt&Fin,64.15,Placed
30,M,62,67,58,Comm&Mgmt,No,77,Mkt&Fin,51.29,Not Placed
31,F,64,73.5,73,Comm&Mgmt,No,52,Mkt&HR,56.7,Placed
32,F,67,53,65,Sci&Tech,No,64,Mkt&HR,58.32,Not Placed
33,F,61,81,66.4,Comm&Mgmt,No,50.89,Mkt&HR,62.21,Placed
34,F,87,65,81,Comm&Mgmt,Yes,88,Mkt&Fin,72.78,Placed
35,M,62,51,52,Others,No,68.44,Mkt&HR,62.77,Not Placed
36,F,69,78,72,Comm&Mgmt,No,71,Mkt&HR,62.74,Placed
37,M,51,44,57,Comm&Mgmt,No,64,Mkt&Fin,51.45,Not Placed
38,F,79,76,65.6,Sci&Tech,No,58,Mkt&HR,55.47,Placed
39,F,73,58,66,Comm&Mgmt,No,53.7,Mkt&HR,56.86,Placed
40,M,81,68,64,Sci&Tech,No,93,Mkt&Fin,62.56,Placed
41,F,78,77,80,Comm&Mgmt,No,60,Mkt&Fin,66.72,Placed
42,F,74,63.16,65,Comm&Mgmt,Yes,65,Mkt&HR,69.76,Not Placed
43,M,49,39,65,Others,No,63,Mkt&Fin,51.21,Not Placed
44,M,87,87,68,Comm&Mgmt,No,95,Mkt&HR,62.9,Placed
45,F,77,73,81,Comm&Mgmt,Yes,89,Mkt&Fin,69.7,Placed
46,F,76,64,72,Sci&Tech,No,58,Mkt&HR,66.53,Not Placed
47,F,70.89,71.98,65.6,Comm&Mgmt,No,68,Mkt&HR,71.63,Not Placed
48,M,63,60,57,Comm&Mgmt,Yes,78,Mkt&Fin,54.55,Placed
49,M,63,62,68,Comm&Mgmt,No,64,Mkt&Fin,62.46,Placed
50,F,50,37,52,Others,No,65,Mkt&HR,56.11,Not Placed
51,F,75.2,73.2,68.4,Comm&Mgmt,No,65,Mkt&HR,62.98,Placed
52,M,54.4,61.12,56.2,Comm&Mgmt,No,67,Mkt&HR,62.65,Not Placed
53,F,40.89,45.83,53,Comm&Mgmt,No,71.2,Mkt&HR,65.49,Not Placed
54,M,80,70,72,Sci&Tech,No,87,Mkt&HR,71.04,Placed
55,F,74,60,69,Comm&Mgmt,No,78,Mkt&HR,65.56,Placed
56,M,60.4,66.6,65,Comm&Mgmt,No,71,Mkt&HR,52.71,Placed
57,M,63,71.4,61.4,Comm&Mgmt,No,68,Mkt&Fin,66.88,Placed
58,M,68,76,74,Comm&Mgmt,No,80,Mkt&Fin,63.59,Placed
59,M,74,62,68,Comm&Mgmt,No,74,Mkt&Fin,57.99,Placed
60,M,52.6,65.58,72.11,Sci&Tech,No,57.6,Mkt&Fin,56.66,Placed
61,M,74,70,72,Comm&Mgmt,Yes,60,Mkt&Fin,57.24,Placed
62,M,84.2,73.4,66.89,Comm&Mgmt,No,61.6,Mkt&Fin,62.48,Placed
63,F,86.5,64.2,67.4,Sci&Tech,No,59,Mkt&Fin,59.69,Placed
64,M,61,70,64,Comm&Mgmt,No,68.5,Mkt&HR,59.5,Not Placed
65,M,80,73,75,Comm&Mgmt,No,61,Mkt&Fin,58.78,Placed
66,M,54,47,57,Comm&Mgmt,No,89.69,Mkt&HR,57.1,Not Placed
67,M,83,74,66,Comm&Mgmt,No,68.92,Mkt&HR,58.46,Placed
68,M,80.92,78.5,67,Comm&Mgmt,No,68.71,Mkt&Fin,60.99,Placed
69,F,69.7,47,72.7,Sci&Tech,No,79,Mkt&HR,59.24,Not Placed
70,M,73,73,66,Sci&Tech,Yes,70,Mkt&Fin,68.07,Placed
71,M,82,61,62,Sci&Tech,No,89,Mkt&Fin,65.45,Placed
72,M,75,70.29,71,Comm&Mgmt,No,95,Mkt&Fin,66.94,Placed
73,M,84.86,67,78,Comm&Mgmt,No,95.5,Mkt&Fin,68.53,Placed
74,M,64.6,83.83,71.72,Comm&Mgmt,No,86,Mkt&Fin,59.75,Placed
75,M,56.6,64.8,70.2,Comm&Mgmt,No,84.27,Mkt&Fin,67.2,Placed
76,F,59,62,77.5,Comm&Mgmt,No,74,Mkt&HR,67,Not Placed
77,F,66.5,70.4,71.93,Comm&Mgmt,No,61,Mkt&Fin,64.27,Placed
78,M,64,80,65,Sci&Tech,Yes,69,Mkt&Fin,57.65,Placed
79,M,84,90.9,64.5,Sci&Tech,No,86.04,Mkt&Fin,59.42,Placed
80,F,69,62,66,Sci&Tech,No,75,Mkt&HR,67.99,Not Placed
81,F,69,62,69,Comm&Mgmt,Yes,67,Mkt&HR,62.35,Placed
82,M,81.7,63,67,Comm&Mgmt,Yes,86,Mkt&Fin,70.2,Placed
83,M,63,67,74,Comm&Mgmt,No,82,Mkt&Fin,60.44,Not Placed
84,M,84,79,68,Sci&Tech,Yes,84,Mkt&Fin,66.69,Placed
85,M,70,63,70,Sci&Tech,Yes,55,Mkt&Fin,62,Placed
86,F,83.84,89.83,77.2,Comm&Mgmt,Yes,78.74,Mkt&Fin,76.18,Placed
87,M,62,63,64,Comm&Mgmt,No,67,Mkt&Fin,57.03,Placed
88,M,59.6,51,60,Others,No,75,Mkt&HR,59.08,Not Placed
89,F,66,62,73,Comm&Mgmt,No,58,Mkt&HR,64.36,Placed
90,F,84,75,69,Sci&Tech,Yes,62,Mkt&HR,62.36,Placed
91,F,85,90,82,Comm&Mgmt,No,92,Mkt&Fin,68.03,Placed
92,M,52,57,50.8,Comm&Mgmt,No,67,Mkt&HR,62.79,Not Placed
93,F,60.23,69,66,Comm&Mgmt,No,72,Mkt&Fin,59.47,Placed
94,M,52,62,54,Comm&Mgmt,No,72,Mkt&HR,55.41,Not Placed
95,M,58,62,64,Comm&Mgmt,No,53.88,Mkt&Fin,54.97,Placed
96,M,73,78,65,Comm&Mgmt,Yes,95.46,Mkt&Fin,62.16,Placed
97,F,76,70,76,Comm&Mgmt,Yes,66,Mkt&Fin,64.44,Placed
98,F,70.5,62.5,61,Comm&Mgmt,No,93.91,Mkt&Fin,69.03,Not Placed
99,F,69,73,65,Comm&Mgmt,No,70,Mkt&Fin,57.31,Placed
100,M,54,82,63,Sci&Tech,No,50,Mkt&Fin,59.47,Not Placed
101,F,45,57,58,Comm&Mgmt,Yes,56.39,Mkt&HR,64.95,Not Placed
102,M,63,72,68,Comm&Mgmt,No,78,Mkt&HR,60.44,Placed
103,F,77,61,68,Comm&Mgmt,Yes,57.5,Mkt&Fin,61.31,Placed
104,M,73,78,73,Sci&Tech,Yes,85,Mkt&HR,65.83,Placed
105,M,69,63,65,Comm&Mgmt,Yes,55,Mkt&HR,58.23,Placed
106,M,59,64,58,Sci&Tech,No,85,Mkt&HR,55.3,Not Placed
107,M,61.08,50,54,Sci&Tech,No,71,Mkt&Fin,65.69,Not Placed
108,M,82,90,83,Comm&Mgmt,No,80,Mkt&HR,73.52,Placed
109,M,61,82,69,Comm&Mgmt,No,84,Mkt&Fin,58.31,Placed
110,M,52,63,65,Sci&Tech,Yes,86,Mkt&HR,56.09,Not Placed
111,F,69.5,70,72,Sci&Tech,No,57.2,Mkt&HR,54.8,Placed
112,M,51,54,61,Sci&Tech,No,60,Mkt&HR,60.64,Not Placed
113,M,58,61,61,Comm&Mgmt,No,58,Mkt&HR,53.94,Placed
114,F,73.96,79,67,Comm&Mgmt,No,72.15,Mkt&Fin,63.08,Placed
115,M,65,68,69,Comm&Mgmt,No,53.7,Mkt&HR,55.01,Placed
116,F,73,63,66,Comm&Mgmt,No,89,Mkt&Fin,60.5,Placed
117,M,68.2,72.8,66.6,Comm&Mgmt,Yes,96,Mkt&Fin,70.85,Placed
118,M,77,75,73,Sci&Tech,No,80,Mkt&Fin,67.05,Placed
119,M,76,80,78,Sci&Tech,Yes,97,Mkt&HR,70.48,Placed
120,M,60.8,68.4,64.6,Comm&Mgmt,Yes,82.66,Mkt&Fin,64.34,Placed
121,M,58,40,59,Comm&Mgmt,No,73,Mkt&HR,58.81,Not Placed
122,F,64,67,69.6,Sci&Tech,Yes,55.67,Mkt&HR,71.49,Placed
123,F,66.5,66.8,69.3,Comm&Mgmt,Yes,80.4,Mkt&Fin,71,Placed
124,M,74,59,73,Comm&Mgmt,Yes,60,Mkt&HR,56.7,Placed
125,M,67,71,64.33,Others,Yes,64,Mkt&HR,61.26,Placed
126,F,84,73,73,Comm&Mgmt,No,75,Mkt&Fin,73.33,Placed
127,F,79,61,75.5,Sci&Tech,Yes,70,Mkt&Fin,68.2,Placed
128,F,72,60,69,Comm&Mgmt,No,55.5,Mkt&HR,58.4,Placed
129,M,80.4,73.4,77.72,Sci&Tech,Yes,81.2,Mkt&HR,76.26,Placed
130,M,76.7,89.7,66,Comm&Mgmt,Yes,90,Mkt&Fin,68.55,Placed
131,M,62,65,60,Comm&Mgmt,No,84,Mkt&Fin,64.15,Not Placed
132,F,74.9,57,62,Others,Yes,80,Mkt&Fin,60.78,Placed
133,M,67,68,64,Comm&Mgmt,Yes,74.4,Mkt&HR,53.49,Placed
134,M,73,64,77,Comm&Mgmt,Yes,65,Mkt&HR,60.98,Placed
135,F,77.44,92,72,Comm&Mgmt,Yes,94,Mkt&Fin,67.13,Placed
136,F,72,56,69,Comm&Mgmt,No,55.6,Mkt&HR,65.63,Placed
137,F,47,59,64,Comm&Mgmt,No,78,Mkt&Fin,61.58,Not Placed
138,M,67,63,72,Comm&Mgmt,No,56,Mkt&HR,60.41,Placed
139,F,82,64,73,Sci&Tech,Yes,96,Mkt&Fin,71.77,Placed
140,M,77,70,59,Comm&Mgmt,Yes,58,Mkt&Fin,54.43,Placed
141,M,65,64.8,69.5,Comm&Mgmt,Yes,56,Mkt&Fin,56.94,Placed
142,M,66,64,60,Comm&Mgmt,No,60,Mkt&HR,61.9,Not Placed
143,M,85,60,73.43,Sci&Tech,Yes,60,Mkt&Fin,61.29,Placed
144,M,77.67,64.89,70.67,Comm&Mgmt,No,89,Mkt&Fin,60.39,Placed
145,M,52,50,61,Comm&Mgmt,No,60,Mkt&Fin,58.52,Not Placed
146,M,89.4,65.66,71.25,Sci&Tech,No,72,Mkt&HR,63.23,Placed
147,M,62,63,66,Comm&Mgmt,No,85,Mkt&HR,55.14,Placed
148,M,70,74,65,Comm&Mgmt,No,83,Mkt&Fin,62.28,Placed
149,F,77,86,56,Others,No,57,Mkt&Fin,64.08,Placed
150,M,44,58,55,Comm&Mgmt,Yes,64.25,Mkt&HR,58.54,Not Placed
151,M,71,58.66,58,Sci&Tech,Yes,56,Mkt&Fin,61.3,Placed
152,M,65,65,75,Comm&Mgmt,No,83,Mkt&Fin,58.87,Placed
153,F,75.4,60.5,84,Sci&Tech,No,98,Mkt&Fin,65.25,Placed
154,M,49,59,65,Sci&Tech,Yes,86,Mkt&Fin,62.48,Placed
155,M,53,63,60,Comm&Mgmt,Yes,70,Mkt&Fin,53.2,Placed
156,M,51.57,74.66,59.9,Comm&Mgmt,Yes,56.15,Mkt&HR,65.99,Not Placed
157,M,84.2,69.4,65,Sci&Tech,Yes,80,Mkt&HR,52.72,Placed
158,M,66.5,62.5,60.9,Comm&Mgmt,No,93.4,Mkt&Fin,55.03,Placed
159,M,67,63,64,Sci&Tech,No,60,Mkt&Fin,61.87,Not Placed
160,M,52,49,58,Comm&Mgmt,No,62,Mkt&HR,60.59,Not Placed
161,M,87,74,65,Sci&Tech,Yes,75,Mkt&HR,72.29,Placed
162,M,55.6,51,57.5,Comm&Mgmt,No,57.63,Mkt&HR,62.72,Not Placed
163,M,74.2,87.6,77.25,Comm&Mgmt,Yes,75.2,Mkt&Fin,66.06,Placed
164,M,63,67,64,Sci&Tech,No,75,Mkt&Fin,66.46,Placed
165,F,67.16,72.5,63.35,Comm&Mgmt,No,53.04,Mkt&Fin,65.52,Placed
166,F,63.3,78.33,74,Comm&Mgmt,No,80,Mkt&Fin,74.56,Not Placed
167,M,62,62,60,Comm&Mgmt,Yes,63,Mkt&HR,52.38,Placed
168,M,67.9,62,67,Sci&Tech,Yes,58.1,Mkt&Fin,75.71,Not Placed
169,F,48,51,58,Comm&Mgmt,Yes,60,Mkt&HR,58.79,Not Placed
170,M,59.96,42.16,61.26,Sci&Tech,No,54.48,Mkt&HR,65.48,Not Placed
171,F,63.4,67.2,60,Comm&Mgmt,No,58.06,Mkt&HR,69.28,Not Placed
172,M,80,80,72,Comm&Mgmt,Yes,63.79,Mkt&Fin,66.04,Placed
173,M,73,58,56,Comm&Mgmt,No,84,Mkt&HR,52.64,Placed
174,F,52,52,55,Sci&Tech,No,67,Mkt&HR,59.32,Not Placed
175,M,73.24,50.83,64.27,Sci&Tech,Yes,64,Mkt&Fin,66.23,Placed
176,M,63,62,65,Sci&Tech,No,87.5,Mkt&HR,60.69,Not Placed
177,F,59,60,56,Comm&Mgmt,No,55,Mkt&HR,57.9,Placed
178,F,73,97,79,Comm&Mgmt,Yes,89,Mkt&Fin,70.81,Placed
179,M,68,56,68,Sci&Tech,No,73,Mkt&HR,68.07,Placed
180,F,77.8,64,64.2,Sci&Tech,No,75.5,Mkt&HR,72.14,Not Placed
181,M,65,71.5,62.8,Comm&Mgmt,Yes,57,Mkt&Fin,56.6,Placed
182,M,62,60.33,64.21,Sci&Tech,No,63,Mkt&HR,60.02,Not Placed
183,M,52,65,57,Others,Yes,75,Mkt&Fin,59.81,Not Placed
184,M,65,77,69,Comm&Mgmt,No,60,Mkt&HR,61.82,Placed
185,F,56.28,62.83,59.79,Comm&Mgmt,No,60,Mkt&HR,57.29,Not Placed
186,F,88,72,78,Others,No,82,Mkt&HR,71.43,Placed
187,F,52,64,61,Comm&Mgmt,No,55,Mkt&Fin,62.93,Not Placed
188,M,78.5,65.5,67,Sci&Tech,Yes,95,Mkt&Fin,64.86,Placed
189,M,61.8,47,54.38,Comm&Mgmt,No,57,Mkt&Fin,56.13,Not Placed
190,F,54,77.6,69.2,Comm&Mgmt,No,95.65,Mkt&Fin,66.94,Not Placed
191,F,64,70.2,61,Comm&Mgmt,No,50,Mkt&Fin,62.5,Not Placed
192,M,67,61,72,Comm&Mgmt,No,72,Mkt&Fin,61.01,Placed
193,M,65.2,61.4,64.8,Comm&Mgmt,Yes,93.4,Mkt&Fin,57.34,Placed
194,F,60,63,56,Others,Yes,80,Mkt&HR,56.63,Placed
195,M,52,55,56.3,Comm&Mgmt,No,59,Mkt&Fin,64.74,Not Placed
196,M,66,76,72,Comm&Mgmt,Yes,84,Mkt&HR,58.95,Placed
197,M,72,63,77.5,Sci&Tech,Yes,78,Mkt&Fin,54.48,Placed
198,F,83.96,53,91,Sci&Tech,No,59.32,Mkt&HR,69.71,Placed
199,F,67,70,65,Others,No,88,Mkt&HR,71.96,Not Placed
200,M,69,65,57,Comm&Mgmt,No,73,Mkt&HR,55.8,Placed
201,M,69,60,65,Comm&Mgmt,No,87.55,Mkt&Fin,52.81,Placed
202,M,54.2,63,58,Comm&Mgmt,No,79,Mkt&HR,58.44,Not Placed
203,M,70,63,66,Sci&Tech,No,61.28,Mkt&HR,60.11,Placed
204,M,55.68,61.33,56.87,Comm&Mgmt,No,66,Mkt&HR,58.3,Placed
205,F,74,73,73,Comm&Mgmt,Yes,80,Mkt&Fin,67.69,Placed
206,M,61,62,65,Comm&Mgmt,No,62,Mkt&Fin,56.81,Placed
207,M,41,42,60,Comm&Mgmt,No,97,Mkt&Fin,53.39,Not Placed
208,M,83.33,78,61,Comm&Mgmt,Yes,88.56,Mkt&Fin,71.55,Placed
209,F,43,60,65,Comm&Mgmt,No,92.66,Mkt&HR,62.92,Not Placed
210,M,62,72,65,Comm&Mgmt,No,67,Mkt&Fin,56.49,Placed
211,M,80.6,82,77.6,Comm&Mgmt,No,91,Mkt&Fin,74.49,Placed
212,M,58,60,72,Sci&Tech,No,74,Mkt&Fin,53.62,Placed
213,M,67,67,73,Comm&Mgmt,Yes,59,Mkt&Fin,69.72,Placed
214,F,74,66,58,Comm&Mgmt,No,70,Mkt&HR,60.23,Placed
215,M,62,58,53,Comm&Mgmt,No,89,Mkt&HR,60.22,Not Placed
