V1,V2,V3,V4,V5,V6,V7,V8,V9
18,8,398,130,3504,12,70,1,chevrolet chevelle malibu
15,8,492,165,3693,11.5,70,1,buick skylark 320
18,8,371,150,3436,11,70,1,plymouth satellite
16,8,117,150,3433,12,70,1,amc rebel sst
17,8,200,140,3449,10.5,70,1,ford torino
15,8,175,198,4341,10,70,1,ford galaxie 500
14,8,243,220,4354,9,70,1,chevrolet impala
14,8,225,215,4312,8.5,70,1,plymouth fury iii
14,8,400,225,4425,10,70,1,pontiac catalina
15,8,141,190,3850,8.5,70,1,amc ambassador dpl
15,8,312,170,3563,10,70,1,dodge challenger se
14,8,141,160,3609,8,70,1,plymouth 'cuda 340
15,8,479,150,3761,9.5,70,1,chevrolet monte carlo
14,8,193,225,3086,10,70,1,buick estate wagon (sw)
24,4,106,95,2372,15,70,2,toyota corona mark ii
22,6,281,95,2833,15.5,70,1,plymouth duster
18,6,161,97,2774,15.5,70,1,amc hornet
21,6,476,85,2587,16,70,1,ford maverick
27,4,108,88,2130,14.5,70,2,datsun pl510
26,4,195,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan
25,4,106,87,2672,17.5,70,2,peugeot 504
24,4,454,90,2430,14.5,70,2,audi 100 ls
25,4,258,95,2375,17.5,70,2,saab 99e
26,4,174,113,2234,12.5,70,2,bmw 2002
21,6,173,90,2648,15,70,1,amc gremlin
10,8,199,215,4615,14,70,1,ford f250
10,8,484,200,4376,15,70,1,chevy c20
11,8,488,210,4382,13.5,70,1,dodge d200
9,8,88,193,4732,18.5,70,1,hi 1200d
27,4,401,88,2130,14.5,71,2,datsun pl510
28,4,113,90,2264,15.5,71,1,chevrolet vega 2300
25,4,316,95,2228,14,71,2,toyota corona
19,6,399,100,2634,13,71,1,amc gremlin
16,6,278,105,3439,15.5,71,1,plymouth satellite custom
17,6,136,100,3329,15.5,71,1,chevrolet chevelle malibu
19,6,164,88,3302,15.5,71,1,ford torino 500
18,6,307,100,3288,15.5,71,1,amc matador
14,8,340,165,4209,12,71,1,chevrolet impala
14,8,485,175,4464,11.5,71,1,pontiac catalina brougham
14,8,214,153,4154,13.5,71,1,ford galaxie 500
14,8,143,150,4096,13,71,1,plymouth fury iii
12,8,271,180,4955,11.5,71,1,dodge monaco (sw)
13,8,99,170,4746,12,71,1,ford country squire (sw)
13,8,455,175,5140,12,71,1,pontiac safari (sw)
18,6,339,110,2962,13.5,71,1,amc hornet sportabout (sw)
22,4,426,72,2408,19,71,1,chevrolet vega (sw)
19,6,264,100,3282,15,71,1,pontiac firebird
18,6,201,88,3139,14.5,71,1,ford mustang
23,4,228,86,2220,14,71,1,mercury capri 2000
28,4,407,90,2123,14,71,2,opel 1900
30,4,184,70,2074,19.5,71,2,peugeot 304
30,4,285,76,2065,14.5,71,2,fiat 124b
31,4,421,65,1773,19,71,2,toyota corolla 1200
35,4,326,69,1613,18,71,2,datsun 1200
27,4,181,60,1834,19,71,2,volkswagen model 111
26,4,170,70,1955,20.5,71,1,plymouth cricket
24,4,227,95,2278,15.5,72,2,toyota corona hardtop
25,4,366,80,2126,17,72,1,dodge colt hardtop
23,4,132,54,2254,23.5,72,2,volkswagen type 3
20,4,464,90,2408,19.5,72,1,chevrolet vega
21,4,264,86,2226,16.5,72,1,ford pinto runabout
13,8,206,165,4274,12,72,1,chevrolet impala
14,8,143,175,4385,12,72,1,pontiac catalina
15,8,241,150,4135,13.5,72,1,plymouth fury iii
14,8,211,153,4129,13,72,1,ford galaxie 500
17,8,121,150,3672,11.5,72,1,amc ambassador sst
11,8,214,208,4633,11,72,1,mercury marquis
13,8,226,155,4502,13.5,72,1,buick lesabre custom
12,8,168,160,4456,13.5,72,1,oldsmobile delta 88 royale
13,8,356,190,4422,12.5,72,1,chrysler newport royal
19,3,448,97,2330,13.5,72,2,mazda rx2 coupe
15,8,395,150,3892,12.5,72,1,amc matador (sw)
13,8,331,130,4098,14,72,1,chevrolet chevelle concours (sw)
13,8,190,140,4294,16,72,1,ford gran torino (sw)
14,8,403,150,4077,14,72,1,plymouth satellite custom (sw)
18,4,188,112,2933,14.5,72,2,volvo 145e (sw)
22,4,146,76,2511,18,72,2,volkswagen 411 (sw)
21,4,283,87,2979,19.5,72,2,peugeot 504 (sw)
26,4,316,69,2189,18,72,2,renault 12 (sw)
22,4,367,86,2395,16,72,1,ford pinto (sw)
28,4,452,92,2288,17,72,2,datsun 510 (sw)
23,4,370,97,2506,14.5,72,2,toyouta corona mark ii (sw)
28,4,250,80,2164,15,72,1,dodge colt (sw)
27,4,310,88,2100,16.5,72,2,toyota corolla 1600 (sw)
13,8,319,175,4100,13,73,1,buick century 350
14,8,497,150,3672,11.5,73,1,amc matador
13,8,435,145,3988,13,73,1,chevrolet malibu
14,8,89,137,4042,14.5,73,1,ford gran torino
15,8,153,150,3777,12.5,73,1,dodge coronet custom
12,8,208,198,4952,11.5,73,1,mercury marquis brougham
13,8,338,150,4464,12,73,1,chevrolet caprice classic
13,8,160,158,4363,13,73,1,ford ltd
14,8,202,150,4237,14.5,73,1,plymouth fury gran sedan
13,8,323,215,4735,11,73,1,chrysler new yorker brougham
12,8,471,225,4951,11,73,1,buick electra 225 custom
13,8,138,175,3821,11,73,1,amc ambassador brougham
18,6,256,105,3121,16.5,73,1,plymouth valiant
16,6,422,100,3278,18,73,1,chevrolet nova custom
18,6,367,100,2945,16,73,1,amc hornet
18,6,187,88,3021,16.5,73,1,ford maverick
23,6,267,95,2904,16,73,1,plymouth duster
26,4,416,46,1950,21,73,2,volkswagen super beetle
11,8,368,150,4997,14,73,1,chevrolet impala
12,8,328,167,4906,12.5,73,1,ford country
13,8,328,170,4654,13,73,1,plymouth custom suburb
12,8,391,180,4499,12.5,73,1,oldsmobile vista cruiser
18,6,128,100,2789,15,73,1,amc gremlin
20,4,331,88,2279,19,73,2,toyota carina
21,4,442,72,2401,19.5,73,1,chevrolet vega
22,4,435,94,2379,16.5,73,2,datsun 610
18,3,197,90,2124,13.5,73,2,maxda rx3
19,4,412,85,2310,18.5,73,1,ford pinto
21,6,266,107,2472,14,73,1,mercury capri v6
26,4,341,90,2265,15.5,73,2,fiat 124 sport coupe
15,8,411,145,4082,13,73,1,chevrolet monte carlo s
16,8,389,230,4278,9.5,73,1,pontiac grand prix
29,4,412,49,1867,19.5,73,2,fiat 128
24,4,416,75,2158,15.5,73,2,opel manta
20,4,286,91,2582,14,73,2,audi 100ls
19,4,340,112,2868,15.5,73,2,volvo 144ea
15,8,229,150,3399,11,73,1,dodge dart custom
24,4,310,110,2660,14,73,2,saab 99le
20,6,402,122,2807,13.5,73,2,toyota mark ii
11,8,464,180,3664,11,73,1,oldsmobile omega
20,6,409,95,3102,16.5,74,1,plymouth duster
19,6,268,100,2901,16,74,1,amc hornet
15,6,277,100,3336,17,74,1,chevrolet nova
31,4,176,67,1950,19,74,2,datsun b210
26,4,468,80,2451,16.5,74,1,ford pinto
32,4,495,65,1836,21,74,2,toyota corolla 1200
25,4,454,75,2542,17,74,1,chevrolet vega
16,6,163,100,3781,17,74,1,chevrolet chevelle malibu classic
16,6,290,110,3632,18,74,1,amc matador
18,6,110,105,3613,16.5,74,1,plymouth satellite sebring
16,8,183,140,4141,14,74,1,ford gran torino
13,8,326,150,4699,14.5,74,1,buick century luxus (sw)
14,8,112,150,4457,13.5,74,1,dodge coronet custom (sw)
14,8,322,140,4638,16,74,1,ford gran torino (sw)
14,8,191,150,4257,15.5,74,1,amc matador (sw)
29,4,373,83,2219,16.5,74,2,audi fox
26,4,199,67,1963,15.5,74,2,volkswagen dasher
26,4,267,78,2300,14.5,74,2,opel manta
31,4,328,52,1649,16.5,74,2,toyota corona
32,4,197,61,2003,19,74,2,datsun 710
28,4,274,75,2125,14.5,74,1,dodge colt
24,4,379,75,2108,15.5,74,2,fiat 128
26,4,238,75,2246,14,74,2,fiat 124 tc
24,4,97,97,2489,15,74,2,honda civic
26,4,134,93,2391,15.5,74,2,subaru
31,4,189,67,2000,16,74,2,fiat x1.9
19,6,225,95,3264,16,75,1,plymouth valiant custom
18,6,355,105,3459,16,75,1,chevrolet nova
15,6,355,72,3432,21,75,1,mercury monarch
15,6,479,72,3158,19.5,75,1,ford maverick
16,8,168,170,4668,11.5,75,1,pontiac catalina
15,8,297,145,4440,14,75,1,chevrolet bel air
16,8,353,150,4498,14.5,75,1,plymouth grand fury
14,8,355,148,4657,13.5,75,1,ford ltd
17,6,340,110,3907,21,75,1,buick century
16,6,222,105,3897,18.5,75,1,chevroelt chevelle malibu
15,6,238,110,3730,19,75,1,amc matador
18,6,242,95,3785,19,75,1,plymouth fury
21,6,114,110,3039,15,75,1,buick skyhawk
20,8,310,110,3221,13.5,75,1,chevrolet monza 2+2
13,8,476,129,3169,12,75,1,ford mustang ii
29,4,175,75,2171,16,75,2,toyota corolla
23,4,395,83,2639,17,75,1,ford pinto
20,6,230,100,2914,16,75,1,amc gremlin
23,4,405,78,2592,18.5,75,1,pontiac astro
24,4,391,96,2702,13.5,75,2,toyota corona
25,4,477,71,2223,16.5,75,2,volkswagen dasher
24,4,419,97,2545,17,75,2,datsun 710
18,6,414,97,2984,14.5,75,1,ford pinto
29,4,452,70,1937,14,75,2,volkswagen rabbit
19,6,185,90,3211,17,75,1,amc pacer
23,4,383,95,2694,15,75,2,audi 100ls
23,4,346,88,2957,17,75,2,peugeot 504
22,4,319,98,2945,14.5,75,2,volvo 244dl
25,4,101,115,2671,13.5,75,2,saab 99le
33,4,246,53,1795,17.5,75,2,honda civic cvcc
28,4,169,86,2464,15.5,76,2,fiat 131
25,4,289,81,2220,16.9,76,2,opel 1900
25,4,101,92,2572,14.9,76,1,capri ii
26,4,283,79,2255,17.7,76,1,dodge colt
27,4,215,83,2202,15.3,76,2,renault 12tl
17.5,8,386,140,4215,13,76,1,chevrolet chevelle malibu classic
16,8,458,150,4190,13,76,1,dodge coronet brougham
15.5,8,308,120,3962,13.9,76,1,amc matador
14.5,8,410,152,4215,12.8,76,1,ford gran torino
22,6,442,100,3233,15.4,76,1,plymouth valiant
22,6,160,105,3353,14.5,76,1,chevrolet nova
24,6,116,81,3012,17.6,76,1,ford maverick
22.5,6,246,90,3085,17.6,76,1,amc hornet
29,4,162,52,2035,22.2,76,1,chevrolet chevette
24.5,4,100,60,2164,22.1,76,1,chevrolet woody
29,4,339,70,1937,14.2,76,2,vw rabbit
33,4,123,53,1795,17.4,76,2,honda civic
20,6,203,100,3651,17.7,76,1,dodge aspen se
18,6,238,78,3574,21,76,1,ford granada ghia
18.5,6,476,110,3645,16.2,76,1,pontiac ventura sj
17.5,6,485,95,3193,17.8,76,1,amc pacer d/l
29.5,4,412,71,1825,12.2,76,2,volkswagen rabbit
32,4,298,70,1990,17,76,2,datsun b-210
28,4,491,75,2155,16.4,76,2,toyota corolla
26.5,4,385,72,2565,13.6,76,1,ford pinto
20,4,249,102,3150,15.7,76,2,volvo 245
13,8,101,150,3940,13.2,76,1,plymouth volare premier v8
19,4,465,88,3270,21.9,76,2,peugeot 504
19,6,378,108,2930,15.5,76,2,toyota mark ii
16.5,6,491,120,3820,16.7,76,2,mercedes-benz 280s
16.5,8,359,180,4380,12.1,76,1,cadillac seville
13,8,125,145,4055,12,76,1,chevy c10
13,8,390,130,3870,15,76,1,ford f108
13,8,419,150,3755,14,76,1,dodge d100
31.5,4,201,68,2045,18.5,77,2,honda accord cvcc
30,4,356,80,2155,14.8,77,1,buick opel isuzu deluxe
36,4,372,58,1825,18.6,77,2,renault 5 gtl
25.5,4,217,96,2300,15.5,77,1,plymouth arrow gs
33.5,4,443,70,1945,16.8,77,2,datsun f-10 hatchback
17.5,8,268,145,3880,12.5,77,1,chevrolet caprice classic
17,8,215,110,4060,19,77,1,oldsmobile cutlass supreme
15.5,8,172,145,4140,13.7,77,1,dodge monaco brougham
15,8,316,130,4295,14.9,77,1,mercury cougar brougham
17.5,6,492,110,3520,16.4,77,1,chevrolet concours
20.5,6,142,105,3425,16.9,77,1,buick skylark
19,6,126,100,3630,17.7,77,1,plymouth volare custom
18.5,6,445,98,3525,19,77,1,ford granada
16,8,167,180,4220,11.1,77,1,pontiac grand prix lj
15.5,8,421,170,4165,11.4,77,1,chevrolet monte carlo landau
15.5,8,397,190,4325,12.2,77,1,chrysler cordoba
16,8,299,149,4335,14.5,77,1,ford thunderbird
29,4,156,78,1940,14.5,77,2,volkswagen rabbit custom
24.5,4,193,88,2740,16,77,1,pontiac sunbird coupe
26,4,401,75,2265,18.2,77,2,toyota corolla liftback
25.5,4,88,89,2755,15.8,77,1,ford mustang ii 2+2
30.5,4,227,63,2051,17,77,1,chevrolet chevette
33.5,4,363,83,2075,15.9,77,1,dodge colt m/m
30,4,291,67,1985,16.4,77,2,subaru dl
30.5,4,365,78,2190,14.1,77,2,volkswagen dasher
22,6,346,97,2815,14.5,77,2,datsun 810
21.5,4,137,110,2600,12.8,77,2,bmw 320i
21.5,3,278,110,2720,13.5,77,2,mazda rx-4
43.1,4,366,48,1985,21.5,78,2,volkswagen rabbit custom diesel
36.1,4,316,66,1800,14.4,78,1,ford fiesta
32.8,4,395,52,1985,19.4,78,2,mazda glc deluxe
39.4,4,298,70,2070,18.6,78,2,datsun b210 gx
36.1,4,407,60,1800,16.4,78,2,honda civic cvcc
19.9,8,291,110,3365,15.5,78,1,oldsmobile cutlass salon brougham
19.4,8,350,140,3735,13.2,78,1,dodge diplomat
20.2,8,368,139,3570,12.8,78,1,mercury monarch ghia
19.2,6,127,105,3535,19.2,78,1,pontiac phoenix lj
20.5,6,146,95,3155,18.2,78,1,chevrolet malibu
20.2,6,313,85,2965,15.8,78,1,ford fairmont (auto)
25.1,4,120,88,2720,15.4,78,1,ford fairmont (man)
20.5,6,114,100,3430,17.2,78,1,plymouth volare
19.4,6,174,90,3210,17.2,78,1,amc concord
20.6,6,291,105,3380,15.8,78,1,buick century special
20.8,6,209,85,3070,16.7,78,1,mercury zephyr
18.6,6,454,110,3620,18.7,78,1,dodge aspen
18.1,6,374,120,3410,15.1,78,1,amc concord d/l
19.2,8,162,145,3425,13.2,78,1,chevrolet monte carlo landau
17.7,6,376,165,3445,13.4,78,1,buick regal sport coupe (turbo)
18.1,8,156,139,3205,11.2,78,1,ford futura
17.5,8,202,140,4080,13.7,78,1,dodge magnum xe
30,4,129,68,2155,16.5,78,1,chevrolet chevette
27.5,4,223,95,2560,14.2,78,2,toyota corona
27.2,4,226,97,2300,14.7,78,2,datsun 510
30.9,4,288,75,2230,14.5,78,1,dodge omni
21.1,4,117,95,2515,14.8,78,2,toyota celica gt liftback
23.2,4,176,105,2745,16.7,78,1,plymouth sapporo
23.8,4,218,85,2855,17.6,78,1,oldsmobile starfire sx
23.9,4,194,97,2405,14.9,78,2,datsun 200-sx
20.3,5,230,103,2830,15.9,78,2,audi 5000
17,6,332,125,3140,13.6,78,2,volvo 264gl
21.6,4,170,115,2795,15.7,78,2,saab 99gle
16.2,6,324,133,3410,15.8,78,2,peugeot 604sl
31.5,4,289,71,1990,14.9,78,2,volkswagen scirocco
29.5,4,209,68,2135,16.6,78,2,honda accord lx
21.5,6,200,115,3245,15.4,79,1,pontiac lemans v6
19.8,6,193,85,2990,18.2,79,1,mercury zephyr 6
22.3,4,236,88,2890,17.3,79,1,ford fairmont 4
20.2,6,373,90,3265,18.2,79,1,amc concord dl 6
20.6,6,275,110,3360,16.6,79,1,dodge aspen 6
17,8,176,130,3840,15.4,79,1,chevrolet caprice classic
17.6,8,87,129,3725,13.4,79,1,ford ltd landau
16.5,8,428,138,3955,13.2,79,1,mercury grand marquis
18.2,8,482,135,3830,15.2,79,1,dodge st. regis
16.9,8,472,155,4360,14.9,79,1,buick estate wagon (sw)
15.5,8,209,142,4054,14.3,79,1,ford country squire (sw)
19.2,8,380,125,3605,15,79,1,chevrolet malibu classic (sw)
18.5,8,254,150,3940,13,79,1,chrysler lebaron town @ country (sw)
31.9,4,242,71,1925,14,79,2,vw rabbit custom
34.1,4,272,65,1975,15.2,79,2,maxda glc deluxe
35.7,4,309,80,1915,14.4,79,1,dodge colt hatchback custom
27.4,4,491,80,2670,15,79,1,amc spirit dl
25.4,5,96,77,3530,20.1,79,2,mercedes benz 300d
23,8,103,125,3900,17.4,79,1,cadillac eldorado
27.2,4,469,71,3190,24.8,79,2,peugeot 504
23.9,8,370,90,3420,22.2,79,1,oldsmobile cutlass salon brougham
34.2,4,81,70,2200,13.2,79,1,plymouth horizon
34.5,4,319,70,2150,14.9,79,1,plymouth horizon tc3
31.8,4,390,65,2020,19.2,79,2,datsun 210
37.3,4,120,69,2130,14.7,79,2,fiat strada custom
28.4,4,99,90,2670,16,79,1,buick skylark limited
28.8,6,408,115,2595,11.3,79,1,chevrolet citation
26.8,6,325,115,2700,12.9,79,1,oldsmobile omega brougham
33.5,4,396,90,2556,13.2,79,1,pontiac phoenix
41.5,4,429,76,2144,14.7,80,2,vw rabbit
38.1,4,237,60,1968,18.8,80,2,toyota corolla tercel
32.1,4,290,70,2120,15.5,80,1,chevrolet chevette
37.2,4,99,65,2019,16.4,80,2,datsun 310
28,4,318,90,2678,16.5,80,1,chevrolet citation
26.4,4,289,88,2870,18.1,80,1,ford fairmont
24.3,4,484,90,3003,20.1,80,1,amc concord
19.1,6,101,90,3381,18.7,80,1,dodge aspen
34.3,4,272,78,2188,15.8,80,2,audi 4000
29.8,4,193,90,2711,15.5,80,2,toyota corona liftback
31.3,4,432,75,2542,17.5,80,2,mazda 626
37,4,129,92,2434,15,80,2,datsun 510 hatchback
32.2,4,105,75,2265,15.2,80,2,toyota corolla
46.6,4,248,65,2110,17.9,80,2,mazda glc
27.9,4,143,105,2800,14.4,80,1,dodge colt
40.8,4,135,65,2110,19.2,80,2,datsun 210
44.3,4,137,48,2085,21.7,80,2,vw rabbit c (diesel)
43.4,4,198,48,2335,23.7,80,2,vw dasher (diesel)
36.4,5,432,67,2950,19.9,80,2,audi 5000s (diesel)
30,4,379,67,3250,21.8,80,2,mercedes-benz 240d
44.6,4,86,67,1850,13.8,80,2,honda civic 1500 gl
33.8,4,446,67,2145,18,80,2,subaru dl
29.8,4,269,62,1845,15.3,80,2,vokswagen rabbit
32.7,6,261,132,2910,11.4,80,2,datsun 280-zx
23.7,3,481,100,2420,12.5,80,2,mazda rx-7 gs
35,4,107,88,2500,15.1,80,2,triumph tr7 coupe
32.4,4,263,72,2290,17,80,2,honda accord
27.2,4,422,84,2490,15.7,81,1,plymouth reliant
26.6,4,322,84,2635,16.4,81,1,buick skylark
25.8,4,389,92,2620,14.4,81,1,dodge aries wagon (sw)
23.5,6,372,110,2725,12.6,81,1,chevrolet citation
30,4,121,84,2385,12.9,81,1,plymouth reliant
39.1,4,81,58,1755,16.9,81,2,toyota starlet
39,4,300,64,1875,16.4,81,1,plymouth champ
35.1,4,124,60,1760,16.1,81,2,honda civic 1300
32.3,4,500,67,2065,17.8,81,2,subaru
37,4,417,65,1975,19.4,81,2,datsun 210 mpg
37.7,4,283,62,2050,17.3,81,2,toyota tercel
34.1,4,471,68,1985,16,81,2,mazda glc 4
34.7,4,309,63,2215,14.9,81,1,plymouth horizon 4
34.4,4,288,65,2045,16.2,81,1,ford escort 4w
29.9,4,225,65,2380,20.7,81,1,ford escort 2h
33,4,241,74,2190,14.2,81,2,volkswagen jetta
33.7,4,168,75,2210,14.4,81,2,honda prelude
32.4,4,400,75,2350,16.8,81,2,toyota corolla
32.9,4,90,100,2615,14.8,81,2,datsun 200sx
31.6,4,145,74,2635,18.3,81,2,mazda 626
28.1,4,194,80,3230,20.4,81,2,peugeot 505s turbo diesel
30.7,6,434,76,3160,19.6,81,2,volvo diesel
25.4,6,301,116,2900,12.6,81,2,toyota cressida
24.2,6,262,120,2930,13.8,81,2,datsun 810 maxima
22.4,6,319,110,3415,15.8,81,1,buick century
26.6,8,372,105,3725,19,81,1,oldsmobile cutlass ls
20.2,6,435,88,3060,17.1,81,1,ford granada gl
17.6,6,442,85,3465,16.6,81,1,chrysler lebaron salon
28,4,244,88,2605,19.6,82,1,chevrolet cavalier
27,4,201,88,2640,18.6,82,1,chevrolet cavalier wagon
34,4,411,88,2395,18,82,1,chevrolet cavalier 2-door
31,4,150,85,2575,16.2,82,1,pontiac j2000 se hatchback
29,4,437,84,2525,16,82,1,dodge aries se
27,4,161,90,2735,18,82,1,pontiac phoenix
24,4,289,92,2865,16.4,82,1,ford fairmont futura
36,4,487,74,1980,15.3,82,2,volkswagen rabbit l
37,4,461,68,2025,18.2,82,2,mazda glc custom l
31,4,243,68,1970,17.6,82,2,mazda glc custom
38,4,306,63,2125,14.7,82,1,plymouth horizon miser
36,4,224,70,2125,17.3,82,1,mercury lynx l
36,4,429,88,2160,14.5,82,2,nissan stanza xe
36,4,198,75,2205,14.5,82,2,honda accord
34,4,137,70,2245,16.9,82,2,toyota corolla
38,4,316,67,1965,15,82,2,honda civic
32,4,176,67,1965,15.7,82,2,honda civic (auto)
38,4,121,67,1995,16.2,82,2,datsun 310 gx
25,6,250,110,2945,16.4,82,1,buick century limited
38,6,473,85,3015,17,82,1,oldsmobile cutlass ciera (diesel)
26,4,190,92,2585,14.5,82,1,chrysler lebaron medallion
22,6,421,112,2835,14.7,82,1,ford granada l
32,4,256,96,2665,13.9,82,2,toyota celica gt
36,4,429,84,2370,13,82,1,dodge charger 2.2
27,4,145,90,2950,17.3,82,1,chevrolet camaro
27,4,435,86,2790,15.6,82,1,ford mustang gl
44,4,353,52,2130,24.6,82,2,vw pickup
32,4,249,84,2295,11.6,82,1,dodge rampage
28,4,264,79,2625,18.6,82,1,ford ranger
31,4,367,82,2720,19.4,82,1,chevy s-10
